cod_tema,Tema
0,Administração Pública
1,"Agricultura, Pecuária e Pesca"
2,Arte e Cultura
3,Ciência e Tecnologia
4,"Ciência, Tecnologia e Informática"
5,Comunicações
6,Comércio Exterior
7,Defesa e Segurança Nacional
8,Desenvolvimento Regional
9,Desenvolvimento Urbano e Trânsito
10,Desporto e Lazer
11,Direito Civil e Processual Civil
12,Direito Constitucional
13,Direito Penal e Processual Penal
14,Direito do Trabalho e Processual do Trabalho
15,Direito e Defesa do Consumidor
16,Direito e Justiça
17,"Direitos Humanos, Minorias e Cidadania"
18,"Economia, Administração Financeira e Orçamentária"
19,Educação
20,Finanças Públicas e Orçamento
21,Homenagens e Datas Comemorativas
22,"Indústria, Comércio e Abastecimento"
23,"Indústria, Comércio e Defesa do Consumidor"
24,Informática
25,Meio Ambiente e Desenvolvimento Sustentável
26,Organização Administrativa do Estado
27,"Organização Política, Partidária e Eleitoral"
28,Organização Político-Administrativa do Estado
29,Política Econômica
30,Política Fundiária
31,Previdência e Assistência Social
32,Processo Legislativo
33,"Recursos Hídricos, Minerais e Política Energética"
34,Relações Internacionais
35,Saúde
36,Segurança Pública
37,Sistema Financeiro
38,Trabalho e Emprego
39,Tributação
40,Turismo
41,Viação e Transportes
